date	total_infected	delta_infected	total_deaths	delta_deaths	recovered
27/02	1	1	0	0	0
28/02	1	0	0	0	0
29/02	1	0	0	0	0
01/03	2	1	0	0	0
02/03	3	1	0	0	0
03/03	3	0	0	0	0
04/03	4	1	0	0	0
05/03	5	1	0	0	0
06/03	5	0	0	0	0
07/03	6	1	0	0	0
08/03	7	1	0	0	0
09/03	8	1	0	0	0
10/03	13	5	0	0	0
11/03	38	25	0	0	0
12/03	47	9	0	0	0
13/03	65	18	0	0	0
14/03	84	19	0	0	0
15/03	101	17	0	0	0
16/03	156	55	0	0	0
17/03	197	41	0	0	0
18/03	232	35	0	0	0
19/03	265	33	0	0	0
20/03	298	33	0	0	0
21/03	323	25	0	0	0
22/03	350	27	0	0	0
23/03	379	29	1	1	0
24/03	406	27	1	0	0
25/03	428	22	1	0	0
26/03	455	27	1	0	0
27/03	474	19	1	0	0
28/03	488	14	1	0	0
29/03	501	13	2	1	0
30/03	524	23	2	0	0
31/03	542	18	3	1	0
01/04	565	23	4	1	0
02/04	587	22	6	2	0
03/04	608	21	9	3	0
04/04	620	12	10	1	0
05/04	628	8	12	2	0
06/04	652	24	12	0	0
07/04	672	20	12	0	0
08/04	691	19	12	0	0
09/04	725	34	13	1	0
10/04	773	48	14	1	0
11/04	802	29	14	0	0
12/04	827	25	16	2	0
13/04	880	53	17	1	0
14/04	901	21	19	2	0
15/04	967	66	22	3	0
16/04	1001	34	22	0	0
17/04	1061	60	24	2	0
18/04	1093	32	25	1	0
19/04	1114	21	25	0	0
20/04	1160	46	25	0	0
21/04	1198	38	25	0	0
22/04	1259	61	27	2	0
23/04	1293	34	27	0	0
24/04	1363	70	27	0	0
25/04	1390	27	28	1	0
26/04	1417	27	28	0	0
27/04	1463	46	29	1	0
28/04	1491	28	29	0	0
29/04	1585	94	30	1	0
30/04	1672	87	31	1	0
01/05	1691	19	32	1	0
02/05	1716	25	33	1	0
03/05	1720	4	33	0	0
